channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit13,b15-RS0468,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),13,6,748,[0 3 6 9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),6,[2 5 8 11 14 17 20 23 26 29 32],477
bit14,b16-RS0548,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),14,6,637,[1 4 7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),6,[2 5 8 11 14 17 20 23 26 29 32],477
bit15,b17-RS0578,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),15,7,748,[0 3 6 9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),7,[2 5 8 11 14 17 20 23 26 29 32],477
bit16,b18-RS0584,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),16,7,637,[1 4 7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),7,[2 5 8 11 14 17 20 23 26 29 32],477
bit17,b20-RS0707,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),17,8,748,[0 3 6 9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),8,[2 5 8 11 14 17 20 23 26 29 32],477
bit18,b22-RS0730,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),18,8,637,[1 4 7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),8,[2 5 8 11 14 17 20 23 26 29 32],477
bit19,b23-RS0763,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),19,9,748,[0 3 6 9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),9,[2 5 8 11 14 17 20 23 26 29 32],477
bit20,b24-RS0793,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),20,9,637,[1 4 7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),9,[2 5 8 11 14 17 20 23 26 29 32],477
bit21,b26-RS0820,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),21,10,748,[0 3 6 9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),10,[2 5 8 11 14 17 20 23 26 29 32],477
bit22,b27-RS0896,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),22,10,637,[1 4 7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),10,[2 5 8 11 14 17 20 23 26 29 32],477
DAPI,,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),23,0,405,[3 7 11 15 19 23 27 31 35 39 43],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),0,[2 6 10 14 18 22 26 30 34 38 42],477
PolyT,,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),24,11,637,[0 2 4 6 8 10 12 14 16 18 20],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),11,[1 3 5 7 9 11 13 15 17 19 21],477
