-1169.25,-1878.60
-699.60,-1830.55
-862.65,-1376.90
-329.05,-1511.25
108.60,-1114.90
210.90,-1699.70
549.55,-1396.05
712.45,-1063.80
1156.50,-607.00
1060.55,-166.10
1760.45,12.85
1667.65,792.35
833.80,648.50
313.10,1540.00
664.40,2239.50
198.20,2683.70
-370.65,2811.40
-622.95,1907.30
-760.40,1367.25
-332.25,1329.10
-760.25,967.95
-1105.45,760.30
-1552.70,642.05
-1734.80,412.05
-1354.60,428.05
-798.65,191.65
-872.20,-255.70
-827.45,-808.40
-1249.25,-1217.20
-1616.50,-1284.25
-1888.10,-984.00
-2156.60,-865.85
-2603.70,-811.55
-2664.50,-1249.15
-2204.50,-1655.00
-1913.60,-2581.40
-1297.10,-2440.80
