version, 1.0
codebook_name, MF5_EAE
bit_names, b1-RS0015, b2-RS0083, b3-RS0095, b4-RS0109, b5-RS0175, b6-RS0237, b7-RS0247, b10-RS0332, b11-RS0343, b12-RS0384, b13-RS0406, b14-RS0451, b15-RS0468, b16-RS0548, b17-RS0578, b18-RS0584, b20-RS0707, b22-RS0730, b23-RS0763, b24-RS0793, b26-RS0820, b27-RS0896
name, id, barcode
Nbl1, ENSMUST00000042844.7, 0010000010011000000000
Nr2f2, ENSMUST00000032768.15, 1110100000000000000000
Anxa2, ENSMUST00000034756.15, 1000010000001010000000
Fli1, ENSMUST00000016231.14, 0100010000000100000010
Cobll1, ENSMUST00000112429.9, 0110000000001100000000
Pcp4l1, ENSMUST00000111332.2, 0000101000101000000000
Cd34, ENSMUST00000110815.9, 0000000101100000000100
Isl1, ENSMUST00000036060.13, 0000100001000001000001
Neurod2, ENSMUST00000041685.7, 0000100000000100100100
Fn1, ENSMUST00000055226.13, 0010100000000101000000
Lgr5, ENSMUST00000020350.15, 1001010000000000000010
Slc18a2, ENSMUST00000026084.5, 0010000000000100100001
Bmp6, ENSMUST00000171970.3, 0001000000001000100100
Abcc9, ENSMUST00000111771.8, 0000000100000000010110
Penk, ENSMUST00000070375.8, 0001000100100000100000
Gabbr2, ENSMUST00000107749.4, 0000001001000100000001
Adcy7, ENSMUST00000171456.9, 0001000010000001010000
Spon1, ENSMUST00000046687.16, 0001010000001000010000
Fbln2, ENSMUST00000041544.8, 0001100000011000000000
Dnah11, ENSMUST00000084806.7, 0000100001000010000010
Tns1, ENSMUST00000169786.8, 0001000010000000101000
Sema5b, ENSMUST00000120756.8, 0000100000010100000001
Ctss, ENSMUST00000015667.9, 0000000100000010010001
Pax6, ENSMUST00000111088.9, 1000000000001000001001
Rgs5, ENSMUST00000027997.9, 0000010001100010000000
Gprc5b, ENSMUST00000008878.10, 0000000100100001001000
Coro1a, ENSMUST00000106364.8, 1000000000101100000000
Kcnj8, ENSMUST00000203945.3, 0110000000000000011000
Itih3, ENSMUST00000006697.17, 0000000000000001110100
Zfp536, ENSMUST00000206763.3, 0100000001000100010000
Fzd5, ENSMUST00000063982.7, 0000000000011000000110
Arx, ENSMUST00000046565.13, 1000000000010010000100
Serpine2, ENSMUST00000027467.11, 1000100010000010000000
Maf, ENSMUST00000109104.2, 0000010000000001011000
Slc38a1, ENSMUST00000088452.11, 0000001010000000100001
Sulf2, ENSMUST00000109249.9, 0000000101000101000000
Dlx6os1, ENSMUST00000159827.4, 1000000101000000010000
Sall3, ENSMUST00000057950.9, 0010001000000010000001
Trbc1, ENSMUST00000192856.6, 0010100010100000000000
Trac, ENSMUST00000198398.5, 1000100000001000000100
Trgc4, ENSMUST00000179181.3, 0000000010100000000101
Csf1r, ENSMUST00000025523.13, 0100000000100100100000
Tigit, ENSMUST00000096065.6, 1000000100001000000010
Trem2, ENSMUST00000024791.15, 0010000000010001001000
Fos, ENSMUST00000021674.7, 1100000000000000110000
Jarid2, ENSMUST00000173246.8, 0000000000100100001001
Aicda, ENSMUST00000043301.14, 0000000000110000110000
Agtrap, ENSMUST00000030865.9, 1001000000100000000100
Ifng, ENSMUST00000068592.5, 0000000100000100110000
Lifr, ENSMUST00000171588.2, 0000011000000110000000
Cyth3, ENSMUST00000116456.10, 0000001000110001000000
Clec4d, ENSMUST00000032240.4, 0000010000100001000001
Cd8a, ENSMUST00000066747.14, 0100000000101000000001
Cd19, ENSMUST00000206325.2, 0000000001010001010000
Il7r, ENSMUST00000228782.2, 0000000001100000011000
Nkg7, ENSMUST00000070518.4, 0100100100000010000000
Dram1, ENSMUST00000020249.2, 0000000000100011000100
Pou2af1, ENSMUST00000034554.9, 0000000010000000001011
Cd274, ENSMUST00000016640.8, 0100000000000010001100
Siglece, ENSMUST00000032667.10, 0000000010110000000010
Il33, ENSMUST00000120388.9, 0000010100101000000000
Lamp1, ENSMUST00000033824.8, 0000101001010000000000
Lrp8, ENSMUST00000106731.4, 0000010000100000010100
Dmxl2, ENSMUST00000118163.8, 0010000010000000010001
Gas6, ENSMUST00000033828.7, 1010000000100001000000
Ikzf3, ENSMUST00000103141.4, 0101100000000100000000
Il27, ENSMUST00000058429.6, 0001000000000101100000
Irf4, ENSMUST00000021784.10, 1000000100010000001000
Cd4, ENSMUST00000024044.7, 0100100010000000100000
Lag3, ENSMUST00000032217.2, 0001000110001000000000
Il21, ENSMUST00000029273.8, 0101000000000000010100
