version, 1.0
codebook_name, MF8_4T1inVitro_16bit
bit_names, Stv_29, Stv_30, Stv_31, Stv_32, Stv_33, Stv_35, Stv_36, Stv_37, Stv_39, Stv_40, Stv_42, Stv_44, Stv_45, Stv_46, Stv_48, Stv_50
name, id, barcode
Oas3, ENSMUST00000044833.9, 0100000110000010
Aatk, ENSMUST00000103020.8, 0000101000001010
Ccng2, ENSMUST00000121127.2, 0001001001001000
Zbp1, ENSMUST00000029018.14, 1000100000100010
Aldoc, ENSMUST00000102478.4, 0000011000001001
Oasl2, ENSMUST00000031542.13, 1000000110000001
Oasl1, ENSMUST00000031540.11, 0001000100010001
Ptgs1, ENSMUST00000062069.6, 0000000000001111
Sdcbp2, ENSMUST00000028950.9, 1000000101000010
Ccdc148, ENSMUST00000226455.2, 1000100010001000
Blank-1, , 0010100001000001
Blank-2, , 1001000010010000
Blank-3, , 0100000100101000
Blank-4, , 0110000000000110
Blank-5, , 0000111100000000
Blank-6, , 0000000011001100
Blank-7, , 0001001000100001
Blank-8, , 1000000100011000
Blank-9, , 0001010010000010
Blank-10, , 0110011000000000
Blank-11, , 1000100000010001
Blank-12, , 0000000001100110
