version, 1.0
codebook_name, MF2-4T1-Primary
bit_names, Stv_29, Stv_30, Stv_31, Stv_32, Stv_33, Stv_35, Stv_36, Stv_37, Stv_39, Stv_40, Stv_42, Stv_44, Stv_45, Stv_46, Stv_48, Stv_50
name, id, barcode
Fcmr, ENSMUST00000038829.7, 0100000100101000
Fscn1, ENSMUST00000031565.15, 0101101000000000
Chil1, ENSMUST00000153856.8, 0000001100001100
Inava, ENSMUST00000120339.8, 0100100000100001
Skap1, ENSMUST00000103154.11, 0001000101000100
Alox15, ENSMUST00000019068.7, 0101000000000101
Fermt1, ENSMUST00000038280.5, 1000001000010100
Plcb1, ENSMUST00000131552.5, 0100001010000001
Cd300e, ENSMUST00000062787.9, 0110000010010000
Azgp1, ENSMUST00000035390.7, 1000001010000010
Fzd2, ENSMUST00000057893.7, 0000000010100101
Blank-1, , 0000000011110000
Blank-2, , 0000110000001100
Blank-3, , 0011000000000011
Blank-4, , 1000001000101000
Blank-5, , 0110100100000000
Blank-6, , 1001000000000110
Blank-7, , 0100010000010001
Blank-8, , 0000001111000000
Blank-9, , 0000000010101010
Blank-10, , 0010001001000100
Blank-11, , 1100110000000000
Blank-12, , 1001000010010000
